"Player","Season","Age","Min","Gls","Ast","CrdY","CrdR","G+A","SoT","Cmp","Cmp%","KP","Prog","SCA","GCA","Tkl+Int","Clr","PPM","Team","League","Nationality","Position","player_foot","market_value","race"
"Rominigue Kouamé","2017-2018",20,200,0,0,0,0,0,0,1180,849,60,90,80,10,60,0,67,"Lille","France","Mali","Defender","left",6e+07,1
"Rômulo","2017-2018",30,3168,3,5,7,0,23,7,11550,730,480,1190,760,80,840,370,59,"Hellas Verona","Italy","Italy","Midfielder","right",3e+08,0
"Rômulo","2018-2019",31,776,0,1,1,0,12,3,3520,824,120,140,400,20,160,90,14,"Lazio","Italy","Italy","Defender","right",2500000,0
"Rômulo","2018-2019",31,776,0,1,1,0,12,3,3520,824,120,140,400,20,160,90,14,"Lazio","Italy","Italy","Defender","right",2500000,0
"Rômulo","2018-2019",31,1351,1,2,1,1,2,3,4940,728,240,550,190,20,330,170,129,"Genoa","Italy","Italy","Midfielder","right",2500000,0
"Rômulo","2018-2019",31,1351,1,2,1,1,2,3,4940,728,240,550,190,20,330,170,129,"Genoa","Italy","Italy","Midfielder","right",2500000,0
"Rômulo","2019-2020",32,1723,1,3,3,0,21,7,4380,799,170,360,380,30,390,80,64,"Brescia","Italy","Italy","Midfielder","right",1600000,0
"Rômulo","2019-2020",32,1723,1,3,3,0,21,7,4380,799,170,360,380,30,390,80,64,"Brescia","Italy","Italy","Midfielder","right",1600000,0
"Rômulo","2019-2020",32,20,0,0,0,0,0,0,50,625,0,10,0,0,10,10,30,"Genoa","Italy","Italy","Defender","right",1600000,0
"Rômulo","2019-2020",32,20,0,0,0,0,0,0,50,625,0,10,0,0,10,10,30,"Genoa","Italy","Italy","Defender","right",1600000,0
"Ronaël Pierre-Gabriel","2019-2020",21,574,0,1,3,0,16,0,1970,706,40,240,110,10,280,280,5,"Mainz 05","Germany","France","Defender","right",3600000,1
"Ronaël Pierre-Gabriel","2017-2018",19,1171,0,0,2,1,0,3,4810,799,70,470,200,20,500,140,131,"Saint-Étienne","France","France","Defender","right",4e+08,1
"Ronaël Pierre-Gabriel","2018-2019",20,355,0,0,1,0,0,0,1630,807,10,110,20,0,160,100,225,"Monaco","France","France","Defender","right",4e+08,1
"Ronaël Pierre-Gabriel","2020-2021",22,2305,1,0,4,0,4,2,11810,836,150,1200,350,0,840,740,11,"Brest","France","France","Defender","right",4e+08,1
"Ronald Araújo","2019-2020",20,238,0,0,0,1,0,0,1970,947,0,30,0,0,40,110,30,"Barcelona","Spain","Uruguay","Defender","right",4500000,1
"Ronald Araújo","2020-2021",21,1510,2,1,3,0,18,4,9870,924,20,260,90,10,450,610,233,"Barcelona","Spain","Uruguay","Defender","right",2.5e+07,1
"Ronaldo Vieira","2018-2019",20,599,0,0,3,0,0,3,3420,830,60,280,120,0,250,250,171,"Sampdoria","Italy","Guinea-Bissau","Midfielder","right",5e+08,1
"Ronaldo Vieira","2019-2020",21,1819,0,1,11,1,5,6,7840,832,240,950,450,20,580,490,89,"Sampdoria","Italy","Guinea-Bissau","Midfielder","right",6300000,1
"Ronaldo Vieira","2020-2021",22,226,0,0,1,0,0,0,970,795,20,90,30,0,40,30,10,"Hellas Verona","Italy","Guinea-Bissau","Midfielder","right",5e+08,1
"Ronny Rodelin","2017-2018",27,3162,5,5,1,0,28,29,9140,684,570,1670,1080,100,390,290,103,"Caen","France","France","Forward","right",5e+08,1
"Ronny Rodelin","2018-2019",28,788,0,0,0,0,0,8,2160,706,100,390,240,10,150,120,88,"Guingamp","France","France","Midfielder","right",2250000,1
"Ronny Rodelin","2018-2019",28,788,0,0,0,0,0,8,2160,706,100,390,240,10,150,120,88,"Guingamp","France","France","Midfielder","right",2250000,1
"Rony Lopes","2019-2020",23,80,0,0,0,0,0,0,240,923,0,0,20,0,20,0,0,"Monaco","France","Portugal","Forward","left",1e+09,0
"Rony Lopes","2019-2020",23,80,0,0,0,0,0,0,240,923,0,0,20,0,20,0,0,"Monaco","France","Portugal","Forward","left",1e+09,0
"Rony Lopes","2020-2021",24,1783,3,1,1,0,2,16,5900,761,360,490,620,50,370,90,129,"Nice","France","Portugal","Forward","left",7e+08,0
"Rony Lopes","2019-2020",23,134,0,0,0,0,0,2,430,827,0,30,10,10,20,0,12,"Sevilla","Spain","Portugal","Forward","left",1e+09,0
"Rony Lopes","2017-2018",21,2532,15,6,2,0,75,32,5790,688,390,670,800,120,640,90,211,"Monaco","France","Portugal","Forward","left",2.8e+07,0
"Rony Lopes","2018-2019",22,1849,2,2,1,0,19,23,4530,660,460,570,880,30,450,120,113,"Monaco","France","Portugal","Forward","left",2.5e+07,0
"Rony Lopes","2019-2020",23,134,0,0,0,0,0,2,430,827,0,30,10,10,20,0,12,"Sevilla","Spain","Portugal","Forward","left",1e+09,0
"Roque Mesa","2017-2018",28,344,0,0,2,0,0,0,2020,931,50,170,100,0,350,100,20,"Sevilla","Spain","Spain","Midfielder","right",7e+08,0
"Roque Mesa","2017-2018",28,344,0,0,2,0,0,0,2020,931,50,170,100,0,350,100,20,"Sevilla","Spain","Spain","Midfielder","right",7e+08,0
"Roque Mesa","2017-2018",28,754,0,0,3,0,0,2,4240,876,50,190,90,0,150,30,73,"Swansea City","England","Spain","Midfielder","right",7e+08,0
"Roque Mesa","2017-2018",28,754,0,0,3,0,0,2,4240,876,50,190,90,0,150,30,73,"Swansea City","England","Spain","Midfielder","right",7e+08,0
"Roque Mesa","2018-2019",29,1746,2,2,11,1,21,7,8280,851,160,710,510,60,690,100,158,"Sevilla","Spain","Spain","Midfielder","right",7e+08,0
"Roque Mesa","2019-2020",30,2012,1,3,11,0,18,9,7240,800,280,870,540,70,520,60,10,"Leganés","Spain","Spain","Midfielder","right",5500000,0
