Player;Age;Min;Gls;Ast;CrdY;CrdR;G+A;SoT;Cmp;Cmp%;KP;Prog;SCA;GCA;Tkl+Int;Clr;PPM;Season;Team;League;Nationality;Position
Loïck Landre;28;1626;1;0;2;1;6;2;6950;889;10;340;70;10;410;840;85;2020-2021;Nîmes;France;France;Defender
Luca Caldirola;29;1572;2;0;6;1;11;4;6540;847;30;400;50;0;350;690;8;2020-2021;Benevento;Italy;Italy;Defender
Luca Ceppitelli;30;1465;0;0;3;0;0;1;6850;844;10;440;80;10;500;800;116;2020-2021;Cagliari;Italy;Italy;Defender
Luca Cigarini;34;929;0;0;5;1;0;2;6250;836;160;700;360;30;350;80;71;2020-2021;Crotone;Italy;Italy;Midfielder
Luca Kilian;20;381;0;0;1;0;0;0;1930;869;10;100;10;0;150;150;67;2020-2021;Mainz 05;Germany;Germany;Defender
Luca Mack;20;6;0;0;0;0;0;0;20;667;0;0;0;0;0;20;30;2020-2021;Stuttgart;Germany;Germany;Midfielder
Luca Marrone;30;1588;0;0;8;0;0;2;8950;878;0;240;40;10;420;720;52;2020-2021;Crotone;Italy;Italy;Defender
Luca Mora;32;113;0;0;0;0;0;1;410;683;0;40;10;0;40;20;75;2020-2021;Spezia;Italy;Italy;Midfielder
Luca Netz;17;309;1;0;0;0;29;1;1310;775;20;120;60;10;140;90;10;2020-2021;Hertha BSC;Germany;Germany;Defender
Luca Pellegrini;21;639;0;1;2;0;14;0;2310;698;70;190;90;10;200;100;36;2020-2021;Genoa;Italy;Italy;Defender
Luca Siligardi;32;34;0;0;0;0;0;1;170;773;20;30;30;0;10;0;0;2020-2021;Parma;Italy;Italy;Forward
Luca Siligardi;32;49;0;0;0;0;0;0;150;682;10;0;30;0;20;0;5;2020-2021;Crotone;Italy;Italy;Midfielder
Luca Vignali;24;1590;0;0;4;1;0;1;9360;806;110;730;180;0;620;320;10;2020-2021;Spezia;Italy;Italy;Defender
Lucas Alario;27;1245;11;2;2;0;94;18;2390;759;120;100;270;30;110;90;156;2020-2021;Leverkusen;Germany;Argentina;Forward
Lucas Boyé;24;2694;7;2;9;1;3;22;5210;789;110;310;390;40;660;220;82;2020-2021;Elche;Spain;Argentina;Forward
Lucas Buadés;22;21;0;0;0;0;0;0;20;400;0;0;0;0;10;0;5;2020-2021;Nîmes;France;France;Midfielder
Lucas Deaux;31;1754;1;2;4;1;15;6;8020;796;170;670;400;50;730;440;88;2020-2021;Nîmes;France;France;Midfielder
Lucas Digne;27;2681;0;7;2;1;23;0;12250;725;440;1080;700;110;1040;960;153;2020-2021;Everton;England;France;Defender
Lucas Douath;16;1327;0;0;8;0;0;1;5410;866;30;260;140;10;600;270;12;2020-2021;Saint-Étienne;France;France;Midfielder
Lucas Hernández;24;1597;0;2;4;0;11;1;11070;847;130;880;240;40;700;580;261;2020-2021;Bayern Munich;Germany;France;Defender
